id,source_name,source_url
S1,Business of Apps — Calm (2026),https://www.businessofapps.com/data/calm-statistics/
S2,Business of Apps — Headspace (2026),https://www.businessofapps.com/data/headspace-statistics/
S3,Sleep Cycle Year-end Report 2025,https://storage.mfn.se/79dd61f8-4ccc-4bc2-b095-feedaf3fced8/sleep-cycle-year-end-report-2025.pdf
S4,Sleep Cycle Annual Report 2025,https://storage.mfn.se/d5bebf48-cfa5-4ce7-bb55-f23b91e4ea38/sleep-cycle-annual-and-sustainability-report-2025.pdf
S5,Sensor Tower — State of Mobile H&F 2025,https://sensortower.com/blog/state-of-mobile-health-and-fitness-in-2025
S6,Sensor Tower — Q2 2024 Wellness US,https://sensortower.com/blog/2024-q2-unified-top-5-wellness%20apps-revenue-us-63e274e1e1714cfff10eaa2f
S7,Grand View Research — Spiritual Wellness Apps,https://www.grandviewresearch.com/industry-analysis/spiritual-wellness-apps-market-report
S8,NicheTracker — Ambient & Sleep Soundscapes,https://nichetracker.live/niche/ambient-sleep-sounds
S9,LensPOV — YouTube CPM by Niche 2026,https://lenspov.com/research/youtube-cpm-by-niche-2026/
S10,Leaxor — Sleep Restore channels,https://leaxor.com/creators/sleep-restore
S11,vidIQ public channel stats,https://vidiq.com/youtube-stats/
S12,YouTube public channel about pages,https://www.youtube.com/
S13,bumetric — White Noise Deep Sleep Sounds,https://bumetric.com/revenue/white-noise-deep-sleep-sounds
S14,Apple iTunes Lookup API,https://itunes.apple.com/lookup
S15,Google Play storefront,https://play.google.com/store/apps
